<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STSB.US,D,20241127,000000,25.64,25.64,25.6144,25.6144,3523,0
STSB.US,D,20241206,000000,25.7829,25.81,25.7829,25.7852,6393,0
STSB.US,D,20241211,000000,25.62,25.63,25.5837,25.5837,1104,0
STSB.US,D,20241213,000000,25.43,26.4699,25.4146,25.4146,8711,0
STSB.US,D,20241216,000000,25.55,25.55,25.4686,25.4686,6246,0
STSB.US,D,20241218,000000,25.29,25.29,24.5341,24.5341,2720,0
STSB.US,D,20241220,000000,24.81,24.81,24.7342,24.7342,510,0
STSB.US,D,20241223,000000,24.81,24.8208,24.81,24.8208,10915,0
STSB.US,D,20241224,000000,25.01,25.0333,25.01,25.0333,2166,0
STSB.US,D,20241226,000000,25.07,25.09,25.0562,25.0562,581,0
STSB.US,D,20241227,000000,24.97,24.97,24.813,24.813,4790,0
STSB.US,D,20241230,000000,24.45,24.4957,24.38,24.4957,714,0
STSB.US,D,20241231,000000,24.55,24.55,24.4166,24.4166,111,0
STSB.US,D,20250102,000000,24.42,24.42,24.33,24.3826,860,0
STSB.US,D,20250106,000000,24.7,24.7,24.6906,24.6906,100,0
STSB.US,D,20250107,000000,24.62,24.62,24.5468,24.5468,2230,0
STSB.US,D,20250108,000000,24.59,24.631,24.59,24.631,1902,0
